Date,BRL
2021-03-03,5.712732403718459
2021-03-02,5.685650149650814
2021-03-01,5.579025968638513
2021-02-26,5.498226218958831
2021-02-25,5.453006134969325
2021-02-24,5.404412975465174
2021-02-23,5.440335996047106
2021-02-22,5.509189812906948
2021-02-19,5.406788038553423
2021-02-18,5.399867593512083
2021-02-17,5.37072968490879
2021-02-16,5.3700897636498395
2021-02-15,5.370104707725286
2021-02-12,5.393293690122233
2021-02-11,5.345846711122088
2021-02-10,5.412797889007999
2021-02-09,5.413912756113682
2021-02-08,5.401663201663202
2021-02-05,5.4450471501293505
2021-02-04,5.3588696232077355
2021-02-03,5.3470916202047105
2021-02-02,5.388907339754235
2021-02-01,5.442320423700762
2021-01-29,5.485168094924192
2021-01-28,5.446778595649657
2021-01-27,5.362968466237411
2021-01-26,5.42007741085399
